GapId,Priority,Conditionality,Area,ProposedObject,DefaultMode,CostClass,PrimarySources,PermissionScope,CoreFinding,FalsePositiveGuard,PrivacyClass,AcceptanceEvidence,ImplementationStatus
SC-001,P0,UNIVERSAL,Repository privacy,Static artifact gate,DELIVERY,LOW,Repository files and ZIP inventory,Local repository read,Runtime identity is allowed; persisted real identity or environment data is forbidden,Automated matches require contextual review and public attribution is preserved,ARTIFACT_PROHIBITED,Synthetic artifact passes; marked real artifact blocks; runtime SELECT contract remains,IMPLEMENTED
SC-002,P0,UNIVERSAL,Database integrity,monitor.USP_DatabaseIntegrityAnalysis,STANDARD,LOW_MEDIUM,msdb.dbo.suspect_pages|DATABASEPROPERTYEX|sys.databases|backupset|dm_hadr_auto_page_repair|system_health,VIEW SERVER STATE and msdb/HADR dependent,"Corruption indicators, verification gaps and repair evidence",No indicator is presented as proof of integrity; DBCC is not auto-executed,RUNTIME_ENVIRONMENT,Controlled page/check evidence plus empty and permission-denied cases,IMPLEMENTED_MATRIX_PENDING
SC-003,P0,UNIVERSAL,Capacity and growth,monitor.USP_DatabaseCapacityAnalysis,STANDARD,LOW_MEDIUM,sys.master_files|sys.database_files|dm_os_volume_stats|dm_io_virtual_file_stats,VIEW SERVER STATE/PERFORMANCE STATE and database metadata,"File, volume, autogrowth and exhaustion risk",No time-to-full without sufficient history; file free and volume free remain separate,RUNTIME_ENVIRONMENT,"Fixed/percent growth, maxsize, low-volume and no-history cases",IMPLEMENTED_MATRIX_PENDING
SC-004,P0,UNIVERSAL,Critical engine events,monitor.USP_CriticalEngineEvents,EXTENDED,MEDIUM,system_health|sp_server_diagnostics|error log optional,VIEW SERVER STATE/PERFORMANCE STATE and XE access,"Non-yielding, memory, dump, severe and health-component evidence",Existing sessions are read only; one-shot diagnostics; event absence is not health proof,RUNTIME_SENSITIVE_TEXT,"Controlled event parsing, no-target, denied and bounded-time cases",IMPLEMENTED_MATRIX_PENDING
SC-005,P0,UNIVERSAL,Performance counters,monitor.USP_PerformanceCounters,STANDARD,LOW_MEDIUM,sys.dm_os_performance_counters|sys.dm_os_sys_info,VIEW SERVER STATE/PERFORMANCE STATE,"Typed snapshot, rate, delta and fraction counters","cntr_type, base, sample interval and reset epoch are mandatory",RUNTIME_METRIC,Snapshot/delta/fraction/reset fixtures calculate correct units,IMPLEMENTED_MATRIX_PENDING
SC-006,P1,VERSION_FEATURE,Intelligent Query Processing,monitor.USP_IntelligentQueryProcessingAnalysis,EXTENDED,MEDIUM,Query Store catalog|plan feedback|query variants|automatic tuning,Database state and Query Store permissions,"PSP, OPPO, feedback, forcing and tuning state",Variants and feedback are not automatically classified as defects,RUNTIME_SQL_METADATA,"2019 unsupported, 2022 PSP and 2025 OPPO capability cases",IMPLEMENTED_MATRIX_PENDING
SC-007,P1,UNIVERSAL,Internal contention,monitor.USP_InternalContentionAnalysis,EXTENDED,MEDIUM,dm_os_waiting_tasks|dm_os_latch_stats|dm_os_spinlock_stats|dm_db_page_info,VIEW SERVER STATE/PERFORMANCE STATE and database access,"Latch, spinlock and hot-page deltas",Two samples and reset checks; no causal claim from spinlock name alone,RUNTIME_ENVIRONMENT,Delta/reset/page-resolution/permission cases,IMPLEMENTED_MATRIX_PENDING
SC-008,P1,UNIVERSAL,Buffer pool and memory,monitor.USP_BufferPoolAnalysis,DEEP,HIGH_OPT_IN,dm_os_buffer_descriptors|memory clerks|ring buffers|performance counters,VIEW SERVER STATE/PERFORMANCE STATE,Buffer distribution and internal/external pressure evidence,No max-memory recommendation from a single snapshot,RUNTIME_ENVIRONMENT,"Bounded scan, empty cache, pressure and denied cases",IMPLEMENTED_MATRIX_PENDING
SC-009,P1,UNIVERSAL,Recovery evidence,monitor.USP_BackupChainAnalysis,EXTENDED,MEDIUM,msdb backupset/mediafamily/restorehistory|AG metadata,msdb read and HADR dependent,"LSN chain, forks, checksums, damage and restore evidence",msdb history and VERIFYONLY never prove recoverability,RUNTIME_SENSITIVE_PATH,"Full/diff/log, copy-only, fork, pruned history and AG cases",IMPLEMENTED_MATRIX_PENDING
SC-010,P1,UNIVERSAL,Schema design,monitor.USP_SchemaDesignAnalysis,EXTENDED,MEDIUM,sys constraints|indexes|identity_columns|sequences|partitions,Database metadata,"Untrusted constraints, index design and exhaustion risks",No automatic DDL recommendation without workload and semantic context,RUNTIME_SCHEMA,"Controlled trusted/untrusted, overlap and exhaustion cases",IMPLEMENTED_MATRIX_PENDING
SC-011,P1,UNIVERSAL,Statistics skew,monitor.USP_StatisticsDistributionAnalysis,DEEP,HIGH_OPT_IN,statistics catalog|stats properties|histogram source,Database metadata and CATALOG_DEEP policy,"Skew, tail, modification and partition variation evidence","Skew is an indicator not proof of a bad plan or out-of-range value; candidates are prelimited",RUNTIME_SCHEMA,Uniform/skewed/filtered/incremental/bounded/denied cases,IMPLEMENTED_MATRIX_PENDING
SC-012,P1,FEATURE,Availability Groups,monitor.USP_AvailabilityDeepAnalysis,EXTENDED,MEDIUM,HADR auto page repair|seeding|cluster|replica DMVs,HADR and VIEW SERVER STATE/PERFORMANCE STATE,"Repair, seeding, quorum, lease, routing and distributed-AG state",Catch-up time from a snapshot remains an estimate,RUNTIME_ENVIRONMENT,"No-AG, primary, secondary, suspended, seeding and denied cases",IMPLEMENTED_MATRIX_PENDING
SC-013,P1,FEATURE,Agent and alerts,monitor.USP_AgentMonitoringAnalysis,EXTENDED,MEDIUM,msdb jobs|alerts|operators|Database Mail,msdb and SQL Agent dependent,"Missing critical alerts, schedule collisions and notification health",Configuration absence is contextual; recipient data is runtime only,RUNTIME_IDENTITY,"No-Agent, missing-alert, colliding-job, mail-failure and denied cases",IMPLEMENTED_MATRIX_PENDING
SC-014,P1,UNIVERSAL,Finding correlation,monitor.USP_DiagnosticFindings,STANDARD,MEDIUM,Existing and new monitor modules,Union of child permissions,Evidence-backed severity and confidence,"Observation, confidence, counter-evidence and data gaps remain separate",DERIVED_RUNTIME,"Multi-signal, contradictory-signal and missing-source cases",IMPLEMENTED_MATRIX_PENDING
SC-015,P2,FEATURE,In-Memory OLTP,monitor.USP_InMemoryOltpAnalysis,EXTENDED,MEDIUM,XTP table memory|hash index|memory consumers|checkpoint files|transactions,Database and XTP dependent,"Memory, hash-chain, checkpoint and transaction pressure",Module runs only when XTP is present,RUNTIME_SCHEMA,"No-XTP, hash-skew, memory-pressure and checkpoint cases",PLANNED
SC-016,P2,FEATURE,Temporal tables,monitor.USP_TemporalAnalysis,EXTENDED,MEDIUM,sys.tables temporal metadata|periods|history tables,Database metadata,"History growth, retention and structural consistency",Module runs only when temporal objects exist,RUNTIME_SCHEMA,"No-temporal, growing-history, retention and disabled-versioning cases",PLANNED
