EnhancementId,Priority,Area,Goal,PrimaryObjects,CostClass,ImplementationStatus,AcceptanceSummary
DIAG-001,P1,Server version and servicing,"Server version, build, CU, GDR, KB, lifecycle and offline documentation links",USP_ServerVersionInformation|SqlServerBuildCatalog|SqlServerLifecycleCatalog,LOW,IMPLEMENTED_ACTIONS_GATE,"Exact and unknown builds, branches, stale catalog and lifecycle tested on SQL Server 2019 2022 2025"
DIAG-002,P1,Typed structured output,"Preserve XML as native xml for plans deadlocks and Extended Events with explicit fallback status",PlanDetails|QueryStore modules|ExtendedEvents modules,LOW_TO_HIGH,IMPLEMENTED_ACTIONS_GATE,"RAW and TABLE preserve xml; invalid large deep and text-only payloads remain distinguishable"
DIAG-003,P1,Parameter evidence,"Expose compiled and available runtime parameter evidence with source time completeness and status",ShowplanAnalysis|PlanDetails|CurrentRequests,MEDIUM_TO_HIGH,IMPLEMENTED_ACTIONS_GATE,"Compiled runtime unavailable SQL null plan eviction request completion and local-variable-not-exposed cases are distinct in RAW JSON and named TABLE output on SQL Server 2019 2022 2025"
DIAG-004,P2,Statement and request context,"Consolidate statement batch input request session connection transaction wait memory and execution context",CurrentRequests|CurrentSessions|CurrentOverview,LOW_TO_MEDIUM,IMPLEMENTED_ACTIONS_GATE,"One materialized read per source with explicit capture time truncation partiality permission and omission status; canonical contracts are release-gated on SQL Server 2019 2022 and 2025"
DIAG-005,P2,Plan and optimizer context,"Add high-value plan warnings operator runtime feedback PSP OPPO Query Store and cache context",ShowplanAnalysis|PlanDetails|PlanCacheAnalysis|QueryStoreAnalysis,MEDIUM_TO_HIGH,IMPLEMENTED_ACTIONS_GATE,"Targeted bounded reusable paths with false-positive guards no query-text read and no automatic tuning or tracing"
PLAN-001,P1,Standalone execution plan analysis,"Add statement-safe version-adaptive plan analysis with evidence JSON targeted metadata workload profiles and privacy-safe histogram mapping",USP_ExecutionPlanAnalysis|USP_CreateExecutionEvidenceJson|USP_ShowplanAnalysis,MEDIUM_TO_HIGH,IMPLEMENTED_ACTIONS_GATE,"Dedicated minimal installer plus Install_All integration; SQL Server 2019 2022 2025 release gates permission matrices and output matrix passed; isolated SQL Server 2025 installer passed; DERIVED_ONLY histogram default; no automatic query execution or tuning"
DIAG-006,P1,Evidence provenance,"Make source time scope freshness aggregation inference and evidence limits explicit",Framework-wide,LOW,IMPLEMENTED_ACTIONS_GATE,"Null never conflates absent uncollected denied unsupported evicted oversized too-deep or invalid evidence"
DIAG-007,P1,Output inventory and tests,"Integrate named result sets schemas TABLE validation and three-version runtime tests",ResultSets inventory|Release gate,MEDIUM,IMPLEMENTED_ACTIONS_GATE,"SQL Server 2019 2022 2025 plus documentation privacy nonblocking and commit gates pass"
OUT-001,P1,Lossless bounded output,"Make every configured string truncation visible measurable and removable without an artificial MAX payload ceiling",Framework-wide output|USP_ExtendedEventsTargetRuntime|ResultSets inventory,LOW_TO_HIGH,IMPLEMENTED_ACTIONS_GATE,"Positive limits truncate projection only; zero is unlimited; per-row length bytes and truncation flag plus one warning with parameter and largest required length; Unicode-safe SQL Server 2019 2022 2025 tests"
OPS-001,P1,Database configuration and drift,"Analyze database options scoped overrides Query Store settings and local cross-database drift",USP_DatabaseConfigurationAnalysis|sys.databases|sys.database_scoped_configurations|sys.database_query_store_options,MEDIUM,IMPLEMENTED_ACTIONS_GATE,"SQL Server 2019 2022 2025 empty denied heterogeneous and explicit-profile cases; drift remains a finding rather than an automatic error"
OPS-002,P1,Worker and scheduler pressure,"Correlate worker availability scheduler queues THREADPOOL blocking and bounded sample deltas",USP_WorkerPressureAnalysis|USP_ServerNuma|USP_ServerHealthAnalysis|sys.dm_os_schedulers|sys.dm_os_workers,LOW_TO_MEDIUM,IMPLEMENTED_ACTIONS_GATE,"Snapshot sample reset denied and controlled queue cases; never recommend max worker threads from one indicator"
OPS-003,P1,Pending IO,"Add a named pendingIo result set with duration layer file scheduler request and wait correlation",USP_CurrentIO|sys.dm_io_pending_io_requests|sys.dm_io_virtual_file_stats,LOW_TO_MEDIUM,IMPLEMENTED_ACTIONS_GATE,"Empty short repeated denied and bounded-detail cases; one pending request is not classified as storage failure"
