SystemSource,SourceType,Scope,MinimumVersionOrCondition,PermissionGuidance,CostClass,FrameworkModules,Provenance
master.sys.all_objects,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/09_VersionAdaptive/010_USP_ServerFeatureCapabilities.sql,Current canonical code plus sanitized prior research; no historical source paths retained
master.sys.databases,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/082_TVF_DatabaseCandidates.sql | Code/01_Common/083_USP_PrepareDatabaseCandidates.sql | Code/02_CurrentState/010_USP_CurrentSessions.sql | Code/02_CurrentState/020_USP_CurrentRequests.sql | Code/02_CurrentState/030_USP_CurrentBlocking.sql | Code/02_CurrentState/040_USP_CurrentWaits.sql | Code/02_CurrentState/050_USP_CurrentTransactions.sql | Code/02_CurrentState/090_USP_CurrentLog.sql | Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/04_PlanCache/010_USP_QueryStats.sql | Code/04_PlanCache/050_USP_ShowplanAnalysis.sql | Code/06_ExtendedEvents/010_USP_ExtendedEventsSessions.sql | Code/06_ExtendedEvents/020_USP_ExtendedEventsReadEvents.sql | Code/06_ExtendedEvents/050_USP_ExtendedEventsTargetRuntime.sql | Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
master.sys.master_files,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/02_CurrentState/080_USP_CurrentIO.sql,Current canonical code plus sanitized prior research; no historical source paths retained
master.sys.objects,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/030_USP_ResourceGovernorAnalysis.sql,Current canonical code plus sanitized prior research; no historical source paths retained
master.sys.schemas,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/030_USP_ResourceGovernorAnalysis.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.agent_datetime,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.backupmediafamily,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/050_USP_BackupRecovery.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.backupset,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/050_USP_BackupRecovery.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.log_shipping_monitor_primary,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.log_shipping_monitor_secondary,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.log_shipping_primary_databases,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.log_shipping_secondary_databases,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.restorehistory,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/050_USP_BackupRecovery.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.syscategories,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobactivity,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobhistory,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobs,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/010_USP_AgentStatus.sql | Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobschedules,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobsteps,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysschedules,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.syssessions,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/010_USP_AgentStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.allocation_units,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/03_ObjectIndex/050_USP_Partitions.sql,Current canonical code plus sanitized prior research; no historical source paths retained
