CoverageKey,Domain,Area,CoverageStatus,CurrentEvidence,OpenQuestion,Disposition,Priority,SuggestedOwner,VersionPlatform,PrimarySource
"BUILD_LIFECYCLE","PLATFORM","Build servicing and lifecycle","IMPLEMENTED_DEEP","USP_ServerVersionInformation","Keep offline catalog current without online runtime dependency","KEEP","P1","USP_ServerVersionInformation","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/sql-server/install/determine-version-edition-update-level?view=sql-server-ver17"
"EDITION_CAPABILITY","PLATFORM","Edition limits and feature capability","IMPLEMENTED_BASELINE","USP_ServerFeatureCapabilities and USP_DatabasePortabilityAnalysis","Correlate edition ceilings with actual pressure without turning limits into defects","COMPLETE_EXISTING","P2","USP_ServerFeatureCapabilities","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/sql-server/editions-and-components-of-sql-server-2025?view=sql-server-ver17"
"OS_SERVICE_STATE","PLATFORM","Operating system virtualization and SQL services","IMPLEMENTED_DEEP","USP_OSInformation","Host-only contention remains outside T-SQL visibility","KEEP","P1","USP_OSInformation","Windows and Linux","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-os-host-info-transact-sql?view=sql-server-ver17"
"CPU_NUMA_TOPOLOGY","PLATFORM","CPU NUMA and scheduler topology","IMPLEMENTED_DEEP","USP_ServerCpuTopology USP_ServerNuma and USP_WorkerPressureAnalysis","External hypervisor scheduling remains separate evidence","KEEP","P1","USP_ServerCpuTopology","Windows and Linux","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-objects/sql-server-operating-system-related-dynamic-management-views-transact-sql?view=sql-server-ver17"
"MEMORY_TOPOLOGY","PLATFORM","Process OS clerks nodes and buffer pool memory","IMPLEMENTED_DEEP","USP_ServerMemory and USP_BufferPoolAnalysis","Host and container ceilings require explicit platform correlation","KEEP","P1","USP_ServerMemory","Windows and Linux","https://learn.microsoft.com/en-us/sql/relational-databases/memory-management-architecture-guide?view=sql-server-ver17"
"LINUX_CONTAINER_LIMITS","PLATFORM","Linux cgroup container memory CPU storage and kernel boundaries","RESEARCHED_NOT_IMPLEMENTED","USP_OSInformation exposes only SQL-visible host evidence","Correlate cgroup and mssql-conf ceilings with scheduler and SQL memory without reading secrets","DOSSIER_CANDIDATE","P1","External platform adapter plus USP_OSInformation","Linux containers Kubernetes OpenShift","https://learn.microsoft.com/en-us/sql/linux/sql-server-linux-performance-best-practices?view=sql-server-ver17"
"WINDOWS_CLUSTER_HOST","PLATFORM","WSFC and failover-cluster host state","EXTERNAL_EVIDENCE_REQUIRED","USP_AvailabilityDeepAnalysis reads SQL-visible cluster DMVs","Define a Windows-host adapter for resource DLL service network storage and quorum evidence","EXTERNAL_COMPONENT","P2","SC-025 or dedicated host adapter","Windows FCI and AG","https://learn.microsoft.com/en-us/sql/sql-server/failover-clusters/windows/always-on-failover-cluster-instances-sql-server?view=sql-server-ver17"
"LOADED_MODULES_FILTER_DRIVERS","PLATFORM","Loaded modules and filter-driver risk","RESEARCHED_NOT_IMPLEMENTED","No dedicated consumer of sys.dm_os_loaded_modules","Inventory signed metadata with strict path and identity privacy boundaries","DOSSIER_CANDIDATE","P2","USP_OSInformation or new bounded module","Windows primarily","https://learn.microsoft.com/en-us/sql/relational-databases/system-dynamic-management-views/sys-dm-os-loaded-modules-transact-sql?view=sql-server-ver17"
"DEPRECATION_BREAKING_CHANGE","PLATFORM","Deprecated discontinued and breaking engine features","RESEARCHED_NOT_IMPLEMENTED","Build catalog and feature inventory provide indirect context","Correlate configured and observed deprecated use with target version and migration impact","DOSSIER_CANDIDATE","P1","USP_DatabasePortabilityAnalysis and USP_ServerFeatureCapabilities","SQL Server 2019-2025","https://learn.microsoft.com/en-us/sql/database-engine/deprecated-database-engine-features-in-sql-server-2025?view=sql-server-ver17"
"STARTUP_CONFIGURATION","PLATFORM","Startup parameters trace flags and server configuration","IMPLEMENTED_DEEP","USP_StartupParameters USP_TraceFlags and USP_ServerConfiguration","Keep version-specific semantics current","KEEP","P1","Existing modules","SQL Server 2019+","https://learn.microsoft.com/en-us/sql/database-engine/configure-windows/server-configuration-options-sql-server?view=sql-server-ver17"
