WorkItemId,ProductStatus,DeliveredScope,OpenScope,EvidenceReference
DIAG-003,IMPLEMENTED_ACTIONS_GATE,Canonical source-time-status parameter evidence for single-plan and multi-plan analysis with preserved legacy output and three-version semantic tests,,AI_Metadata/Internal_Documentation/Architecture/Diagnostic_Information_Enrichment_Backlog.md
DIAG-004,IMPLEMENTED_ACTIONS_GATE,Canonical snapshotStatus requestContext statements batches and inputBuffers contracts plus one invocation-local evidence snapshot consumed by Sessions Requests Blocking Waits Transactions Memory Grants TempDB and IO,,AI_Metadata/Internal_Documentation/Architecture/Diagnostic_Information_Enrichment_Backlog.md
DIAG-005,IMPLEMENTED_ACTIONS_GATE,Canonical plan warnings optimizer and cache context runtime feedback targeted Query Store context and feedback or variant result sets with provenance privacy and false-positive boundaries,,AI_Metadata/Internal_Documentation/Architecture/Diagnostic_Information_Enrichment_Backlog.md
SQL25-001,IMPLEMENTED_ACTIONS_GATE,Capability-adaptive Vector-index catalog and real-time background-maintenance evidence with explicit availability permission truncation provenance and false-positive boundaries,,Documentation/Architecture/SQL_Server_2025_Vector_Index_Analysis.md
SQL25-002,IMPLEMENTED_ACTIONS_GATE,Capability-adaptive JSON-index and SQL/JSON-path metadata integrated into the existing object and capability inventories without reading JSON document values or adding a dedicated procedure,,Documentation/Architecture/SQL_Server_2025_JSON_Index_Inventory.md
SQL25-003,IMPLEMENTED_ACTIONS_GATE,Capability-adaptive TempDB Resource Governance with stored and effective workload-group limits current and peak use violation and reset evidence plus explicit version permission and file-configuration boundaries,,Documentation/Architecture/SQL_Server_2025_TempDB_Resource_Governance.md
SQL25-004,IMPLEMENTED_ACTIONS_GATE,Capability-adaptive statistics origin and current database replica-role evidence with explicit temporary primary secondary geo not-recorded partial version and metadata-visibility boundaries,,Documentation/Architecture/SQL_Server_2025_Readable_Secondary_Statistics.md
FRAMEWORK-USAGE-001,IMPLEMENTED_ACTIONS_GATE,Canonical object and result-set inventories @Hilfe weighted Query Store aggregation CONSOLE RAW TABLE NONE JSON source status warnings lock-timeout restoration and three-version runtime contract,,Documentation/Analysis_Guides/Procedures/USP_FrameworkUsageFromQueryStore.md
RUNTIME-001,IMPLEMENTED_EXTERNAL_EVIDENCE_PENDING,Portable read-only External Runtime and SQL CLR Current-State modules,Platform matrix with activated runtime features and controlled synthetic SAFE assembly evidence,Documentation/Architecture/External_Runtime_CLR_Analysis_Plan.md
SC-023,IMPLEMENTED_ACTIONS_GATE,Restart-safe performance-counter snapshot baseline slice with installer retention budget and three-version runtime gate,,Documentation/Architecture/Snapshot_Baseline_Package_Contract.md
SC-023-EXPANSION,OPTIONAL_FUTURE,,Additional collectors rollups and optional scheduler or export packages,Documentation/Architecture/Snapshot_Baseline_Package_Contract.md
SQL25-005,IMPLEMENTED_ACTIONS_GATE,Capability-adaptive Query Store replica catalog runtime wait and plan-forcing evidence with explicit role mapping missing-metadata partial version and false-positive boundaries,,Documentation/Analysis_Guides/Procedures/USP_QueryStoreReplicaAnalysis.md
OPS-005,PARTIAL_PRODUCT_FUNCTION,Read-only linked-server inventory and double opt-in gate pass the local native 2019 2022 2025 release matrix,Controlled remote success timeout provider variance and dedicated denied evidence,AI_Metadata/Internal_Documentation/Quality/Maturity_Closeout_Runtime_Evidence_2026-08-29.md
OPS-006,PARTIAL_PRODUCT_FUNCTION,Portable uncontained missing and restricted paths pass the local native 2019 2022 2025 release matrix without DDL recommendations,Feature-bound persisted SKU and truly unsupported-source evidence,AI_Metadata/Internal_Documentation/Quality/Maturity_Closeout_Runtime_Evidence_2026-08-29.md
OPS-007,PARTIAL_PRODUCT_FUNCTION,Default exact-session active cursor invalid-selection and row-bound paths pass the local native 2019 2022 2025 release matrix,Dormant or foreign high-cost cursor and dedicated denied evidence,AI_Metadata/Internal_Documentation/Quality/Maturity_Closeout_Runtime_Evidence_2026-08-29.md
OPS-008,PARTIAL_PRODUCT_FUNCTION,Read-only source size bounded output and restricted paths pass the local native 2019 2022 2025 release matrix,Controlled empty short-retention long-retention growth and missing optional-source evidence,AI_Metadata/Internal_Documentation/Quality/Maturity_Closeout_Runtime_Evidence_2026-08-29.md
OPS-009,PARTIAL_PRODUCT_FUNCTION,Three-system-database synthetic inventory row-bound and restricted paths pass the local native 2019 2022 2025 release matrix,Explicit empty and partial metadata-visibility evidence,AI_Metadata/Internal_Documentation/Quality/Maturity_Closeout_Runtime_Evidence_2026-08-29.md
COLL-001,PARTIAL_PRODUCT_FUNCTION,Framework-wide boundary inventory explicit OPS and CurrentOverview hardening plus TABLE-target contracts pass the baseline-collation native 2019 2022 2025 release matrix,Remaining per-file hardening and mixed server tempdb framework target matrix,AI_Metadata/Internal_Documentation/Quality/Maturity_Closeout_Runtime_Evidence_2026-08-29.md
SSIS-001,RESEARCHED_NOT_IMPLEMENTED,Phase 0 public resultset schema status packaging privacy source projection expression component and adapter contracts completed,Phase 1 parser followed by rule engine runtime analyzers packaging documentation and Windows or Linux platform evidence,Documentation/Architecture/SSIS_001_Phase0_Public_Contract.md
LAB-001,PARTIAL_PRODUCT_FUNCTION,Historical Analyze-side Lab contracts and synthetic scenario knowledge remain as migration input while general provisioning and lifecycle responsibility moved to gecompat/SQL_Server_Lab,No new general provider or lifecycle implementation in this repository; Analyze example integration is tracked separately as ANALYZE-LAB-001,Documentation/Architecture/SQL_Server_Lab_Example_Integration_Plan.md
ANALYZE-LAB-001,IMPLEMENTED_ACTIONS_GATE,Seven-example catalog schema Interactive and Verify runner scoped cleanup existing BLOCKING-001 matrix SQL Server 2025 Docker gates for six additional examples plus the EXECUTION-PLAN-001 Project Adapter quick slice on Docker and Podman,None in the defined seven-example and Project Adapter vertical-slice scope; further provider or native-version runs remain impact-based evidence,Documentation/Architecture/SQL_Server_Lab_Example_Integration_Plan.md
SC-024,DESIGN_READY_EXTERNAL_COMPONENT_REQUIRED,Repository interface and isolation boundary documented,External fleet component transport tenant isolation retention deletion and operational evidence,AI_Metadata/Internal_Documentation/Research/Special_Case_Gap_Analysis.md
SC-025,RUNBOOK_READY_EXTERNAL_EXECUTION_REQUIRED,Synthetic restore and host evidence runbook documented,Authorized isolated restore CHECKDB host storage and network execution evidence,AI_Metadata/Internal_Documentation/Research/Special_Case_Gap_Analysis.md
WI-0002,RESEARCHED_NOT_IMPLEMENTED,Long-term roadmap records the TempDB ADR and PVS diagnostic question boundaries dependencies and dossier sequence,Source and gap analysis public contract implementation and native 2019 2022 2025 evidence,AI_Metadata/Internal_Documentation/Architecture/Long_Term_Development_Roadmap.md
WI-0003,RESEARCHED_NOT_IMPLEMENTED,Long-term roadmap records backup compression algorithm and ZSTD evidence boundaries dependencies and dossier sequence,Source and gap analysis public contract implementation and native 2019 2022 2025 evidence,AI_Metadata/Internal_Documentation/Architecture/Long_Term_Development_Roadmap.md
WI-0004,RESEARCHED_NOT_IMPLEMENTED,Long-term roadmap records ordered columnstore diagnostic boundaries dependencies and dossier sequence,Source and gap analysis public contract implementation bounded deep path and native 2019 2022 2025 evidence,AI_Metadata/Internal_Documentation/Architecture/Long_Term_Development_Roadmap.md
WI-0005,RESEARCHED_NOT_IMPLEMENTED,Long-term roadmap records time-bound Extended Events diagnostic boundaries dependencies and dossier sequence,Source and gap analysis public contract implementation and native 2019 2022 2025 evidence,AI_Metadata/Internal_Documentation/Architecture/Long_Term_Development_Roadmap.md
WI-0006,RESEARCHED_NOT_IMPLEMENTED,Long-term roadmap records optimized sp_executesql and compile-context boundaries dependencies and dossier sequence,Source adequacy analysis public contract implementation and bounded native evidence,AI_Metadata/Internal_Documentation/Architecture/Long_Term_Development_Roadmap.md
WI-0007,RESEARCHED_NOT_IMPLEMENTED,Long-term roadmap records aggregate External Model inventory boundaries dependencies and dossier sequence,Source and gap analysis inventory contract implementation and native fallback or positive evidence,AI_Metadata/Internal_Documentation/Architecture/Long_Term_Development_Roadmap.md
WI-0008,RESEARCHED_NOT_IMPLEMENTED,Long-term roadmap records SQL Audit configuration-analysis boundaries dependencies and dossier sequence,Source and gap analysis public contract implementation and absent disabled partial denied and runtime-state evidence,AI_Metadata/Internal_Documentation/Architecture/Long_Term_Development_Roadmap.md
WI-0009,RESEARCHED_NOT_IMPLEMENTED,Long-term roadmap records External Data analysis boundaries dependencies and dossier sequence,Source privacy and gap analysis public contract implementation and local catalog evidence,AI_Metadata/Internal_Documentation/Architecture/Long_Term_Development_Roadmap.md
WI-0010,RESEARCHED_NOT_IMPLEMENTED,Source-backed 106-area coverage landscape classifies implemented partial planned external and excluded SQL Server diagnostic areas,Prioritize individual candidates and allocate separate registered dossiers before public implementation,AI_Metadata/Internal_Documentation/Research/SQL_Server_Diagnostic_Coverage_Landscape.md
